RegionID,SizeRank,StateName,Lstate,Value,Date
1,46,Alaska,AK,132178,2/1/2000
1,46,Alaska,AK,131580,3/1/2000
1,46,Alaska,AK,131592,4/1/2000
1,46,Alaska,AK,131786,5/1/2000
1,46,Alaska,AK,132082,6/1/2000
1,46,Alaska,AK,132748,7/1/2000
1,46,Alaska,AK,133438,8/1/2000
1,46,Alaska,AK,134514,9/1/2000
1,46,Alaska,AK,135357,10/1/2000
1,46,Alaska,AK,136314,11/1/2000
1,46,Alaska,AK,137365,12/1/2000
21,966,Alaska,AK,5094438,1/1/2021
21,966,Alaska,AK,5110627,2/1/2021
21,966,Alaska,AK,5127392,3/1/2021
21,966,Alaska,AK,5143646,4/1/2021
21,966,Alaska,AK,5159681,5/1/2021
20,920,Alaska,AK,4860181,6/1/2021
20,920,Alaska,AK,4874656,7/1/2021
20,920,Alaska,AK,4888401,8/1/2021
19,874,Alaska,AK,4642352,9/1/2021
19,874,Alaska,AK,4648554,10/1/2021
20,920,Alaska,AK,4928660,11/1/2021
20,920,Alaska,AK,4941669,12/1/2021
1,15,Arizona,AZ,186547,9/1/2013
1,15,Arizona,AZ,195873,10/1/2014
1,15,Arizona,AZ,112948,1/1/1996
1,15,Arizona,AZ,113270,2/1/1996
1,15,Arizona,AZ,113640,3/1/1996
1,15,Arizona,AZ,114312,4/1/1996
1,15,Arizona,AZ,114942,5/1/1996
1,15,Arizona,AZ,115511,6/1/1996
1,15,Arizona,AZ,116035,7/1/1996
1,15,Arizona,AZ,116515,8/1/1996
1,15,Arizona,AZ,116975,9/1/1996
1,15,Arizona,AZ,117437,10/1/1996
1,15,Arizona,AZ,117869,11/1/1996
1,15,Arizona,AZ,118271,12/1/1996
1,15,Arizona,AZ,118622,1/1/1997
1,15,Arizona,AZ,119007,2/1/1997
1,15,Arizona,AZ,119311,3/1/1997
1,15,Arizona,AZ,119647,4/1/1997
1,15,Arizona,AZ,119998,5/1/1997
1,15,Arizona,AZ,120346,6/1/1997
1,15,Arizona,AZ,120686,7/1/1997
1,15,Arizona,AZ,121024,8/1/1997
1,15,Arizona,AZ,121415,9/1/1997
1,15,Arizona,AZ,121800,10/1/1997
1,15,Arizona,AZ,122231,11/1/1997
1,15,Arizona,AZ,122700,12/1/1997
1,15,Arizona,AZ,123315,1/1/1998
1,15,Arizona,AZ,123877,2/1/1998
1,15,Arizona,AZ,124405,3/1/1998
1,15,Arizona,AZ,124822,4/1/1998
1,15,Arizona,AZ,125258,5/1/1998
1,15,Arizona,AZ,125731,6/1/1998
1,15,Arizona,AZ,126308,7/1/1998
1,15,Arizona,AZ,126973,8/1/1998
1,15,Arizona,AZ,127604,9/1/1998
1,15,Arizona,AZ,128222,10/1/1998
1,15,Arizona,AZ,128804,11/1/1998
1,15,Arizona,AZ,129401,12/1/1998
1,15,Arizona,AZ,129799,1/1/1999
1,15,Arizona,AZ,130225,2/1/1999
1,15,Arizona,AZ,130721,3/1/1999
1,15,Arizona,AZ,131392,4/1/1999
1,15,Arizona,AZ,132083,5/1/1999
1,15,Arizona,AZ,132973,6/1/1999
1,15,Arizona,AZ,133792,7/1/1999
1,15,Arizona,AZ,134575,8/1/1999
1,15,Arizona,AZ,135245,9/1/1999
1,15,Arizona,AZ,135893,10/1/1999
1,15,Arizona,AZ,136547,11/1/1999
1,15,Arizona,AZ,137119,12/1/1999
1,15,Arizona,AZ,137861,1/1/2000
1,15,Arizona,AZ,138613,2/1/2000
1,15,Arizona,AZ,139422,3/1/2000
1,15,Arizona,AZ,140177,4/1/2000
1,15,Arizona,AZ,140941,5/1/2000
1,15,Arizona,AZ,141509,6/1/2000
1,15,Arizona,AZ,142135,7/1/2000
1,15,Arizona,AZ,142720,8/1/2000
1,15,Arizona,AZ,143456,9/1/2000
1,15,Arizona,AZ,144132,10/1/2000
1,15,Arizona,AZ,144802,11/1/2000
1,15,Arizona,AZ,145502,12/1/2000
21,315,Arizona,AZ,4406123,1/1/2021
21,315,Arizona,AZ,4425675,2/1/2021
21,315,Arizona,AZ,4446291,3/1/2021
21,315,Arizona,AZ,4467912,4/1/2021
21,315,Arizona,AZ,4490327,5/1/2021
20,300,Arizona,AZ,4151807,6/1/2021
20,300,Arizona,AZ,4164218,7/1/2021
20,300,Arizona,AZ,4178368,8/1/2021
19,285,Arizona,AZ,4006628,9/1/2021
19,285,Arizona,AZ,4013159,10/1/2021
20,300,Arizona,AZ,4225513,11/1/2021
20,300,Arizona,AZ,4242415,12/1/2021
1,31,Arkansas,AR,106434,9/1/2013
1,31,Arkansas,AR,108283,10/1/2014
1,31,Arkansas,AR,69740,1/1/1996
1,31,Arkansas,AR,69772,2/1/1996
1,31,Arkansas,AR,69850,3/1/1996
1,31,Arkansas,AR,69961,4/1/1996
1,31,Arkansas,AR,70090,5/1/1996
1,31,Arkansas,AR,70206,6/1/1996
1,31,Arkansas,AR,70360,7/1/1996
1,31,Arkansas,AR,70530,8/1/1996
1,31,Arkansas,AR,70693,9/1/1996
1,31,Arkansas,AR,70875,10/1/1996
1,31,Arkansas,AR,71033,11/1/1996
1,31,Arkansas,AR,71234,12/1/1996
1,31,Arkansas,AR,71443,1/1/1997
1,31,Arkansas,AR,71740,2/1/1997
1,31,Arkansas,AR,71995,3/1/1997
1,31,Arkansas,AR,72303,4/1/1997
1,31,Arkansas,AR,72540,5/1/1997
1,31,Arkansas,AR,72746,6/1/1997
1,31,Arkansas,AR,72861,7/1/1997
1,31,Arkansas,AR,72998,8/1/1997
1,31,Arkansas,AR,73200,9/1/1997
1,31,Arkansas,AR,73407,10/1/1997
1,31,Arkansas,AR,73718,11/1/1997
1,31,Arkansas,AR,73980,12/1/1997
1,31,Arkansas,AR,74345,1/1/1998
1,31,Arkansas,AR,74552,2/1/1998
1,31,Arkansas,AR,74778,3/1/1998
1,31,Arkansas,AR,74854,4/1/1998
1,31,Arkansas,AR,75053,5/1/1998
1,31,Arkansas,AR,75358,6/1/1998
1,31,Arkansas,AR,75747,7/1/1998
1,31,Arkansas,AR,76102,8/1/1998
1,31,Arkansas,AR,76383,9/1/1998
1,31,Arkansas,AR,76640,10/1/1998
1,31,Arkansas,AR,76782,11/1/1998
1,31,Arkansas,AR,76899,12/1/1998
1,31,Arkansas,AR,76835,1/1/1999
1,31,Arkansas,AR,76865,2/1/1999
1,31,Arkansas,AR,76873,3/1/1999
1,31,Arkansas,AR,77063,4/1/1999
1,31,Arkansas,AR,77239,5/1/1999
1,31,Arkansas,AR,77436,6/1/1999
1,31,Arkansas,AR,77649,7/1/1999
1,31,Arkansas,AR,77811,8/1/1999
1,31,Arkansas,AR,77951,9/1/1999
1,31,Arkansas,AR,78058,10/1/1999
1,31,Arkansas,AR,78188,11/1/1999
1,31,Arkansas,AR,78367,12/1/1999
1,31,Arkansas,AR,78560,1/1/2000
1,31,Arkansas,AR,78869,2/1/2000
1,31,Arkansas,AR,79188,3/1/2000
1,31,Arkansas,AR,79553,4/1/2000
1,31,Arkansas,AR,79774,5/1/2000
1,31,Arkansas,AR,79949,6/1/2000
1,31,Arkansas,AR,80076,7/1/2000
1,31,Arkansas,AR,80310,8/1/2000
1,31,Arkansas,AR,80603,9/1/2000
1,31,Arkansas,AR,80943,10/1/2000
1,31,Arkansas,AR,81397,11/1/2000
1,31,Arkansas,AR,81881,12/1/2000
21,651,Arkansas,AR,2268632,1/1/2021
21,651,Arkansas,AR,2274525,2/1/2021
21,651,Arkansas,AR,2280542,3/1/2021
21,651,Arkansas,AR,2286659,4/1/2021
21,651,Arkansas,AR,2293069,5/1/2021
20,620,Arkansas,AR,2151152,6/1/2021
20,620,Arkansas,AR,2155829,7/1/2021
20,620,Arkansas,AR,2160697,8/1/2021
19,589,Arkansas,AR,2059206,9/1/2021
19,589,Arkansas,AR,2062352,10/1/2021
20,620,Arkansas,AR,2175686,11/1/2021
20,620,Arkansas,AR,2180865,12/1/2021
1,0,California,CA,394978,9/1/2013
1,0,California,CA,428066,10/1/2014
1,0,California,CA,163335,1/1/1996
1,0,California,CA,163109,2/1/1996
1,0,California,CA,162970,3/1/1996
1,0,California,CA,162699,4/1/1996
1,0,California,CA,162524,5/1/1996
1,0,California,CA,162390,6/1/1996
1,0,California,CA,162314,7/1/1996
1,0,California,CA,162320,8/1/1996
1,0,California,CA,162369,9/1/1996
1,0,California,CA,162545,10/1/1996
1,0,California,CA,162747,11/1/1996
1,0,California,CA,163027,12/1/1996
1,0,California,CA,163069,1/1/1997
1,0,California,CA,163178,2/1/1997
1,0,California,CA,163366,3/1/1997
1,0,California,CA,163846,4/1/1997
1,0,California,CA,164414,5/1/1997
1,0,California,CA,165013,6/1/1997
1,0,California,CA,165743,7/1/1997
1,0,California,CA,166522,8/1/1997
1,0,California,CA,167391,9/1/1997
1,0,California,CA,168173,10/1/1997
1,0,California,CA,169082,11/1/1997
1,0,California,CA,170117,12/1/1997
1,0,California,CA,171550,1/1/1998
1,0,California,CA,173137,2/1/1998
1,0,California,CA,174661,3/1/1998
1,0,California,CA,175960,4/1/1998
1,0,California,CA,177134,5/1/1998
1,0,California,CA,178348,6/1/1998
1,0,California,CA,179449,7/1/1998
1,0,California,CA,180646,8/1/1998
1,0,California,CA,181949,9/1/1998
1,0,California,CA,183327,10/1/1998
1,0,California,CA,184594,11/1/1998
1,0,California,CA,185672,12/1/1998
1,0,California,CA,186939,1/1/1999
1,0,California,CA,188280,2/1/1999
1,0,California,CA,189687,3/1/1999
1,0,California,CA,190955,4/1/1999
1,0,California,CA,192279,5/1/1999
1,0,California,CA,193844,6/1/1999
1,0,California,CA,195504,7/1/1999
1,0,California,CA,196979,8/1/1999
1,0,California,CA,198303,9/1/1999
1,0,California,CA,199856,10/1/1999
1,0,California,CA,201737,11/1/1999
1,0,California,CA,203811,12/1/1999
1,0,California,CA,205833,1/1/2000
1,0,California,CA,207766,2/1/2000
1,0,California,CA,209750,3/1/2000
1,0,California,CA,211878,4/1/2000
1,0,California,CA,214193,5/1/2000
1,0,California,CA,216598,6/1/2000
1,0,California,CA,219081,7/1/2000
1,0,California,CA,221732,8/1/2000
1,0,California,CA,224474,9/1/2000
1,0,California,CA,227128,10/1/2000
1,0,California,CA,229771,11/1/2000
1,0,California,CA,232440,12/1/2000
21,0,California,CA,8906826,1/1/2021
21,0,California,CA,8948961,2/1/2021
21,0,California,CA,8992599,3/1/2021
21,0,California,CA,9037850,4/1/2021
21,0,California,CA,9084802,5/1/2021
20,0,California,CA,8432457,6/1/2021
20,0,California,CA,8462186,7/1/2021
20,0,California,CA,8494504,8/1/2021
19,0,California,CA,8132326,9/1/2021
19,0,California,CA,8133424,10/1/2021
20,0,California,CA,8596831,11/1/2021
20,0,California,CA,8633490,12/1/2021
1,21,Colorado,CO,262897,9/1/2013
1,21,Colorado,CO,283751,10/1/2014
1,21,Colorado,CO,145390,1/1/1996
1,21,Colorado,CO,145868,2/1/1996
1,21,Colorado,CO,146261,3/1/1996
1,21,Colorado,CO,147058,4/1/1996
1,21,Colorado,CO,147755,5/1/1996
1,21,Colorado,CO,148448,6/1/1996
1,21,Colorado,CO,149119,7/1/1996
1,21,Colorado,CO,149813,8/1/1996
1,21,Colorado,CO,150479,9/1/1996
1,21,Colorado,CO,151112,10/1/1996
1,21,Colorado,CO,151729,11/1/1996
1,21,Colorado,CO,152344,12/1/1996
1,21,Colorado,CO,152948,1/1/1997
1,21,Colorado,CO,153449,2/1/1997
1,21,Colorado,CO,153994,3/1/1997
1,21,Colorado,CO,154636,4/1/1997
1,21,Colorado,CO,155377,5/1/1997
1,21,Colorado,CO,156064,6/1/1997
1,21,Colorado,CO,156653,7/1/1997
1,21,Colorado,CO,157227,8/1/1997
1,21,Colorado,CO,157860,9/1/1997
1,21,Colorado,CO,158602,10/1/1997
1,21,Colorado,CO,159395,11/1/1997
1,21,Colorado,CO,160177,12/1/1997
1,21,Colorado,CO,161017,1/1/1998
1,21,Colorado,CO,161766,2/1/1998
1,21,Colorado,CO,162502,3/1/1998
1,21,Colorado,CO,163041,4/1/1998
1,21,Colorado,CO,163688,5/1/1998
1,21,Colorado,CO,164337,6/1/1998
1,21,Colorado,CO,165299,7/1/1998
1,21,Colorado,CO,166354,8/1/1998
1,21,Colorado,CO,167554,9/1/1998
1,21,Colorado,CO,168663,10/1/1998
1,21,Colorado,CO,169678,11/1/1998
1,21,Colorado,CO,170748,12/1/1998
1,21,Colorado,CO,171787,1/1/1999
1,21,Colorado,CO,173155,2/1/1999
1,21,Colorado,CO,174604,3/1/1999
1,21,Colorado,CO,176224,4/1/1999
1,21,Colorado,CO,177786,5/1/1999
1,21,Colorado,CO,179689,6/1/1999
1,21,Colorado,CO,181458,7/1/1999
