Zipcode,State,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
1270,MA,Berkshire County,Windsor,5/31/2022,9.2
1301,MA,Franklin County,Greenfield,5/31/2022,6
1330,MA,Franklin County,Ashfield,5/31/2022,6
1331,MA,Worcester County,Athol,5/31/2022,7.7
1337,MA,Franklin County,Bernardston,5/31/2022,6.3
1338,MA,Franklin County,Buckland,5/31/2022,5.9
1339,MA,Franklin County,Charlemont,5/31/2022,6.2
1340,MA,Franklin County,Colrain,5/31/2022,5.9
1341,MA,Franklin County,Conway,5/31/2022,5.7
1342,MA,Franklin County,Deerfield,5/31/2022,5.7
1343,MA,Berkshire County,Florida,5/31/2022,5.9
1344,MA,Franklin County,Erving,5/31/2022,6.5
1346,MA,Franklin County,Heath,5/31/2022,6.4
1347,MA,Franklin County,Montague,5/31/2022,6.6
1349,MA,Franklin County,Millers Falls,5/31/2022,5.9
1350,MA,Franklin County,Monroe,5/31/2022,7.4
1351,MA,Franklin County,Montague,5/31/2022,6
1354,MA,Franklin County,Gill,5/31/2022,5.8
1355,MA,Franklin County,New Salem,5/31/2022,6.2
1360,MA,Franklin County,Northfield,5/31/2022,6.1
1364,MA,Franklin County,Orange,5/31/2022,6.9
1366,MA,Worcester County,Petersham,5/31/2022,6.8
1367,MA,Franklin County,Rowe,5/31/2022,5.5
1368,MA,Worcester County,Royalston,5/31/2022,4.8
1370,MA,Franklin County,Shelburne,5/31/2022,6.3
1373,MA,Franklin County,South Deerfield,5/31/2022,6.1
1375,MA,Franklin County,Sunderland,5/31/2022,5.9
1376,MA,Franklin County,Turners Falls,5/31/2022,6.1
1378,MA,Franklin County,Warwick,5/31/2022,5.6
1379,MA,Franklin County,Wendell,5/31/2022,6.1
1420,MA,Worcester County,Fitchburg,5/31/2022,7
1430,MA,Worcester County,Ashburnham,5/31/2022,6.7
1431,MA,Middlesex County,Ashby,5/31/2022,7
1432,MA,Middlesex County,Ayer,5/31/2022,6.5
1434,MA,Worcester County,Devens,5/31/2022,6.1
1436,MA,Worcester County,Baldwinville,5/31/2022,7
1440,MA,Worcester County,Gardner,5/31/2022,7.6
1450,MA,Middlesex County,Groton,5/31/2022,6.8
1451,MA,Worcester County,Harvard,5/31/2022,6.3
1452,MA,Worcester County,Hubbardston,5/31/2022,7
1453,MA,Worcester County,Leominster,5/31/2022,6.6
1460,MA,Middlesex County,Littleton,5/31/2022,6.5
1462,MA,Worcester County,Lunenburg,5/31/2022,6.4
1463,MA,Middlesex County,Pepperell,5/31/2022,6.8
1464,MA,Middlesex County,Shirley,5/31/2022,6.3
1468,MA,Worcester County,Templeton,5/31/2022,7.3
1469,MA,Middlesex County,Townsend,5/31/2022,6.7
1470,MA,Middlesex County,Groton,5/31/2022,7.9
1473,MA,Worcester County,Westminster,5/31/2022,6.9
1474,MA,Middlesex County,Townsend,5/31/2022,6.6
1475,MA,Worcester County,Winchendon,5/31/2022,6.9
1501,MA,Worcester County,Auburn,5/31/2022,6.7
1503,MA,Worcester County,Berlin,5/31/2022,5.6
1504,MA,Worcester County,Blackstone,5/31/2022,6.8
1505,MA,Worcester County,Boylston,5/31/2022,6.9
1506,MA,Worcester County,Brookfield,5/31/2022,6.5
1507,MA,Worcester County,Charlton,5/31/2022,6.7
1510,MA,Worcester County,Clinton,5/31/2022,6.3
1515,MA,Worcester County,East Brookfield,5/31/2022,7
1516,MA,Worcester County,Douglas,5/31/2022,6.8
1518,MA,Worcester County,Fiskdale,5/31/2022,6.6
1519,MA,Worcester County,Grafton,5/31/2022,6.6
1520,MA,Worcester County,Holden,5/31/2022,7.7
1521,MA,Hampden County,Holland,5/31/2022,7.4
1522,MA,Worcester County,Holden,5/31/2022,7.6
1523,MA,Worcester County,Lancaster,5/31/2022,5.9
1524,MA,Worcester County,Leicester,5/31/2022,7.6
1527,MA,Worcester County,Millbury,5/31/2022,6.5
1529,MA,Worcester County,Millville,5/31/2022,6.3
