GA,Wilmington Island,120209.66964670499,881319.64590091992,351037.94793016498
CA,Millville,121918.81186917001,893850.25698008004,356029.00880121003
MD,Crofton,120779.38372086,885496.51626064,352701.63488718
NC,Deep Gap,123400.06867930168,904710.12150870159,360354.59552409523
TN,Hampshire,122146.69728150332,895521.00353061839,356694.48294936976
IA,Waukon,119753.89827871666,877978.14881646913,349706.99804722989
AL,Millport,120551.49830852666,883825.76971010154,352036.16073902015
TX,Tornillo,120323.61235287164,882155.01917618909,351370.68500424485
MI,Leonard,120437.55505903834,882990.39245145838,351703.42207832477
MO,Montrose,122260.64053099167,896356.38078926154,357027.2216100652
WY,Ten Sleep,121007.26913319332,887167.26281117834,353367.10903533979
VT,Sharon,122032.75457533666,894685.63025534921,356361.7458752899
NY,Town Of Ithaca,120437.55505903834,882990.39245145838,351703.42207832477
WI,Soldiers Grove,119867.84098488333,878813.5220917383,350039.73512130976
KY,Foster,120779.38372086,885496.51626064,352701.63488718
TX,Lancaster,120551.49803686583,883825.76771841454,352036.15994571242
TN,Chapmansboro,120779.38372086,885496.51626064,352701.63488718
TX,Fort Worth,120481.66214964614,883313.76448625769,351832.22421730118
MO,Raytown,120437.55533069916,882990.39444314537,351703.42287163256
IL,Oquawka,118386.58471807334,867953.66154649085,345714.14998504013
OH,Midland,120779.38372086,885496.51626064,352701.63488718
KY,Butler,120209.66964670499,881319.64590091992,351037.94793016498
NJ,New Brunswick,122716.41135565833,899697.87389033847,358358.16990638484
IA,Macedonia,120209.66964670499,881319.64590091992,351037.94793016498
TX,Ponce,117588.98495992417,862106.04264454544,343384.9880865576
AL,Columbiana,121690.92645683666,892179.51042954146,355363.53465305018
GA,Bonaire,120323.61235287164,882155.01917618909,351370.68500424485
OR,Nyssa,119639.95557255,877142.77554119995,349374.26097315003
GA,Snellville,121804.86916300334,893014.88370481087,355696.27172713011
IA,Tama,119298.12691072833,874636.65173201845,348376.0481642948
VA,Wingina,119563.99376843889,876585.86002435384,349152.43625709671
LA,Cottonport,119981.78423437168,879648.89935038157,350372.4737820052
GA,Nelson,119526.01286638335,876307.40226593078,349041.5238990701
ME,Litchfield,123969.78275345666,908886.99186842155,362018.28248111019
MN,Barrett,120893.32642702667,886331.88953590917,353034.37196125987
PA,Rheems,119981.78423437168,879648.89935038157,350372.4737820052
MT,Polson,121349.09779501498,889673.38662035996,354365.32184419496
ID,Clifton,119184.18420456166,873801.27845674928,348043.31109021493
NY,Town Of Portland,122716.41135565833,899697.87389033847,358358.16990638484
MO,Hughesville,121349.09779501498,889673.38662035996,354365.32184419496
AR,Barling,121007.26913319332,887167.26281117834,353367.10903533979
NY,East Rockaway,120209.66964670499,881319.64590091992,351037.94793016498
OK,Welling,122374.58323715834,897191.75406453072,357359.95868414507
KS,Copeland,121121.21238268167,888002.64006982162,353699.84769603523
MO,Lynchburg,120095.72694053833,880484.27262565074,350705.21085608506
MO,Zanoni,120323.61235287164,882155.01917618909,351370.68500424485
KS,Kismet,118158.69903407917,866282.9130042654,345048.67504357256
PA,Wilmington Township,120665.44101469334,884661.14298537083,352368.89781310013
MD,Centreville,120323.61262453251,882155.0211678762,351370.68579755264
MN,East Bethel,120380.583705955,882572.70581382373,351537.05354128481
SC,Ladson,120779.38372086,885496.51626064,352701.63488718
CA,Aptos,121349.09779501498,889673.38662035996,354365.32184419496
KY,Morehead,119526.01286638335,876307.40226593078,349041.5238990701
NM,Bayard,122146.69728150332,895521.00353061839,356694.48294936976
ID,Fort Hall,122944.29731131332,901368.62442425068,359023.64564116008
IL,West Frankfort,119981.78423437168,879648.89935038157,350372.4737820052
CA,La Grange,122260.64053099167,896356.38078926154,357027.2216100652
WA,Friday Harbor,119981.78423437168,879648.89935038157,350372.4737820052
MT,Rollins,120551.49830852666,883825.76971010154,352036.16073902015
RI,Foster,121690.92645683666,892179.51042954146,355363.53465305018
MS,Pass Christian,120779.38372086,885496.51626064,352701.63488718
CA,Shaver Lake,121576.98320734833,891344.13317089842,355030.7959923548
NJ,Roebling,120893.32642702667,886331.88953590917,353034.37196125987
ME,Springfield,122146.69728150332,895521.00353061839,356694.48294936976
IN,Knox,120551.49830852666,883825.76971010154,352036.16073902015
NY,Florida,121804.86916300334,893014.88370481087,355696.27172713011
TN,Baneberry,121463.04050118165,890508.75989562913,354698.05891827482
MN,Racine,121804.86916300334,893014.88370481087,355696.27172713011
MA,Norfolk,121463.04050118165,890508.75989562913,354698.05891827482
WI,Steuben,120323.61235287164,882155.01917618909,351370.68500424485
KY,Stamping Ground,122032.75457533666,894685.63025534921,356361.7458752899
MI,Hemlock,121463.04050118165,890508.75989562913,354698.05891827482
OH,McGuffey,121121.21238268167,888002.64006982162,353699.84769603523
MN,Richfield,120665.44101469334,884661.14298537083,352368.89781310013
CA,Pinon Hills,121690.92645683666,892179.51042954146,355363.53465305018
TN,Hollow Rock,119753.89827871666,877978.14881646913,349706.99804722989
IL,Anna,119867.84098488333,878813.5220917383,350039.73512130976
MO,Elsberry,120665.44101469334,884661.14298537083,352368.89781310013
NY,Manorville,121463.04050118165,890508.75989562913,354698.05891827482
SC,Lugoff,119298.12691072833,874636.65173201845,348376.0481642948
CA,Bethel Island,120779.38372086,885496.51626064,352701.63488718
MN,Paynesville,120323.61235287164,882155.01917618909,351370.68500424485
MI,Shelbyville,121121.21211102084,888002.63807813462,353699.84690272744
TX,Lakeview,121463.04050118165,890508.75989562913,354698.05891827482
PA,South Heights,117702.92766609084,862941.41591981461,343717.72516063746
MI,Lincoln,120722.41236777666,885078.82962300535,352535.26635014004
